offset_x,offset_y,1996-06-22 00:00:00,1996-06-28 00:00:00,1996-07-05 00:00:00,1996-07-12 00:00:00,1996-07-19 00:00:00,1996-07-26 00:00:00,1996-08-02 00:00:00,1996-08-16 00:00:00,1997-06-22 00:00:00,1997-07-15 00:00:00,1997-07-30 00:00:00,1997-08-11 00:00:00,1997-08-21 00:00:00,1997-08-30 00:00:00,1998-06-25 00:00:00,1998-07-09 00:00:00,1998-07-23 00:00:00,1998-08-07 00:00:00,1998-08-14 00:00:00,1998-08-21 00:00:00,1998-08-31 00:00:00,1999-06-27 00:00:00,1999-07-04 00:00:00,1999-07-10 00:00:00,1999-07-18 00:00:00,1999-07-26 00:00:00,1999-08-07 00:00:00,1999-08-13 00:00:00,1999-08-19 00:00:00,1999-08-28 00:00:00,1999-09-04 00:00:00,1999-09-08 00:00:00,2000-06-04 00:00:00,2000-06-17 00:00:00,2000-07-01 00:00:00,2000-07-15 00:00:00,2000-07-28 00:00:00,2000-08-11 00:00:00,2000-08-28 00:00:00,2001-06-25 00:00:00,2001-07-11 00:00:00,2001-07-25 00:00:00,2001-08-09 00:00:00,2001-08-21 00:00:00,2001-08-29 00:00:00,2002-06-24 00:00:00,2002-07-08 00:00:00,2002-07-17 00:00:00,2002-07-31 00:00:00,2002-08-13 00:00:00,2002-08-21 00:00:00,2002-08-31 00:00:00,2003-06-11 00:00:00,2003-06-18 00:00:00,2003-06-26 00:00:00,2003-07-03 00:00:00,2003-07-16 00:00:00,2003-07-30 00:00:00,2003-08-13 00:00:00,2003-08-30 00:00:00,2004-06-12 00:00:00,2004-06-19 00:00:00,2004-06-26 00:00:00,2004-07-09 00:00:00,2004-07-25 00:00:00,2004-08-05 00:00:00,2004-08-19 00:00:00,2004-08-29 00:00:00,2005-06-01 00:00:00,2005-06-06 00:00:00,2005-06-13 00:00:00,2005-06-25 00:00:00,2005-07-09 00:00:00,2005-08-04 00:00:00,2005-08-16 00:00:00,2005-08-27 00:00:00,2006-06-26 00:00:00,2006-07-05 00:00:00,2006-07-10 00:00:00,2006-07-23 00:00:00,2006-08-07 00:00:00,2006-08-23 00:00:00,2006-08-28 00:00:00,2007-06-09 00:00:00,2007-06-16 00:00:00,2007-06-27 00:00:00,2007-07-09 00:00:00,2007-07-23 00:00:00,2007-08-08 00:00:00,2007-08-21 00:00:00,2007-09-04 00:00:00,2008-06-23 00:00:00,2008-07-02 00:00:00,2008-07-08 00:00:00,2008-07-21 00:00:00,2008-07-31 00:00:00,2008-08-10 00:00:00,2008-08-21 00:00:00,2008-08-27 00:00:00,2008-09-01 00:00:00,2009-05-17 00:00:00,2009-05-24 00:00:00,2009-05-31 00:00:00,2009-06-08 00:00:00,2009-06-18 00:00:00,2009-06-28 00:00:00,2009-07-13 00:00:00,2009-07-26 00:00:00,2009-08-10 00:00:00,2009-08-23 00:00:00,2009-09-01 00:00:00,2010-06-20 00:00:00,2010-06-29 00:00:00,2010-07-12 00:00:00,2010-07-26 00:00:00,2010-08-09 00:00:00,2010-08-23 00:00:00,2010-08-30 00:00:00,2010-09-04 00:00:00,2011-06-10 00:00:00,2011-06-14 00:00:00,2011-06-23 00:00:00,2011-07-05 00:00:00,2011-07-19 00:00:00,2011-08-02 00:00:00,2011-08-16 00:00:00,2011-08-30 00:00:00,2012-06-26 00:00:00,2012-07-03 00:00:00,2012-07-10 00:00:00,2012-07-17 00:00:00,2012-07-24 00:00:00,2012-08-07 00:00:00,2012-08-21 00:00:00,2012-09-05 00:00:00,2013-06-01 00:00:00,2013-06-08 00:00:00,2013-06-15 00:00:00,2013-06-22 00:00:00,2013-07-06 00:00:00,2013-07-20 00:00:00,2013-08-03 00:00:00,2013-08-17 00:00:00,2013-09-02 00:00:00,2013-09-07 00:00:00,2014-06-24 00:00:00,2014-06-30 00:00:00,2014-07-07 00:00:00,2014-07-21 00:00:00,2014-08-04 00:00:00,2014-08-18 00:00:00,2014-09-01 00:00:00,2015-06-30 00:00:00,2015-07-07 00:00:00,2015-07-14 00:00:00,2015-07-28 00:00:00,2015-08-11 00:00:00,2015-08-25 00:00:00,2015-09-01 00:00:00,2016-06-13 00:00:00,2016-06-20 00:00:00,2016-06-27 00:00:00,2016-07-04 00:00:00,2016-07-11 00:00:00,2016-07-25 00:00:00,2016-08-08 00:00:00,2016-08-22 00:00:00,2016-08-31 00:00:00
0,0,14,25,42,56,62,65,67,70,-999,36,46,68,71,32.4,19,44,53,53,57,59,72,-999,6,21,37,48,64,65,65,64,44,44,-999,13,42,42,56,58,69,11,30,62,67,68,69,15,43,64,70,75,76,74,-999,13,36,45,51,64,68,68,16,27,45,55,65,67,70,74,-999,18,33,53,61,75,76,76,25,56,60,70,79,81,79,-999,24,50,62,67,71,73,71,21,47,53,65,71,75,75,75,74,-999,-999,8,20,36,47,62,71,74,75,72,35,53,67,67,74,77,75,84,13,26,51,62,67,78,84,84,-999,45,57,67,72,80,82,84,10,14,35,44,52,67,67,66,65,64,12,35,47,57,64,76,76,12,42,50,62,69,74,73,12,40,47,55,61,73,80,72,86
0,10,2,30,47,51,62,67,67,68,-999,36,46,61,64,27.7,2,41,52,52,56,72,70,-999,1,21,37,48,60,62,64,63,61,59,-999,8,40,43,58,64,68,13,45,58,65,66,69,6,55,63,72,78,79,79,-999,6,25,37,54,63,69,71,10,32,42,55,67,70,75,75,-999,-999,30,49,55,75,79,78,15,38,41,58,74,77,76,1,20,39,55,67,72,75,75,1,32,44,63,74,78,78,77,76,-999,-999,11,17,34,41,58,69,76,76,75,22,43,56,66,75,75,74,74,3,26,47,59,64,70,75,74,19,46,54,65,67,75,79,79,10,20,41,54,57,63,68,68,68,66,15,27,43,54,63,68,67,6,28,46,60,66,76,67,8,24,46,55,60,68,74,80,80
0,20,1,18,37.5,50,56,59,62,62,-999,37,52,59,62,38,9,38,49,61,65,66,66,-999,7,16,36,47,59,63,62,61,61,59,-999,9,41,54,61,65,69,6,49,62,66,68,68,10,54,63,68,73,74,75,-999,8,24,40,50,60,64,66,4,16,37,55,62,65,69,70,-999,-999,13,45,55,72,79,79,-999,16,27,63,71,72,73,-999,8,36,54,60,69,68,65,-999,24,44,57,63,68,70,69,66,-999,-999,-999,12,24,38,59,64,71,71,69,13,40,54,60,65,69,68,76,-999,3,40,51,65,67,75,76,14,41,48,60,66,73,79,80,7,28,34,40,46,57,67,70,68,68,11,29,40,54,65,72,73,4,38,48,61,70,72,71,9,32,42,49,55,70,80,84,89
0,30,0.5,20,34,45,49,51,53,53,-999,41,53,55,55,28.6,8,41,48,57,57,60,60,-999,5,7,29,44,53,54,55,54,52,51,-999,4,41,49,52,65,68,9,45,52,57,61,69,2,45,53,60,68,68,68,-999,6,33,37,50,59,65,65,-999,20,31,45,61,65,67,68,-999,-999,17,34,49,72,72,72,1,28,38,54,68,71,71,-999,14,40,53,65,70,70,70,2,34,43,56,70,71,71,72,70,-999,-999,1,17,40,46,61,70,74,75,75,26,37,56,65,73,74,72,86,-999,-999,28,57,72,77,84,86,13,17,34,64,71,86,88,89,-999,15,25,38,57,69,78,80,80,80,4,20,37,63,71,77,78,7,29,51,65,75,77,77,5,27,55,63,68,82,87,94,97
0,40,5,21,45,55,59,61,63,64,-999,49,60,63,68,47.5,6,48,53,64,67,69,71,-999,1,18,46,53,62,64,63,63,61,60,-999,8,49,57,61,66,68,5,48,53,62,69,68,15,55,62,70,74,74,75,-999,7,24,37,55,63,72,76,13,20,36,58,74,77,80,82,-999,-999,11,35,52,81,83,82,-999,16,33,51,69,74,75,-999,10,30,47,63,68,79,76,3,58,58,67,78,83,83,84,81,-999,-999,5,14,26,47,68,75,81,84,83,18,46,66,75,84,85,83,88,-999,5,39,51,68,77,85,88,-999,18,39,57,64,80,83,85,15,24,27,49,61,72,78,82,81,81,-999,12,48,62,73,78,79,8,36,50,67,77,80,85,-999,23,49,58,65,82,-999,70,72
0,50,12,31,37.5,46,53,60,61,62,-999,39,52,60,61,37.7,6,36,48,64,65,69,69,-999,8,21,39,46,59,61,63,62,56,56,-999,5,38,51,60,63,65,9,48,58,65,65,67,5,53,61,67,72,73,73,-999,15,47,54,64,74,75,75,9,27,49,64,75,76,80,81,-999,-999,14,50,65,80,81,81,11,27,50,65,77,81,80,-999,16,51,64,72,77,79,75,11,46,57,71,78,81,81,81,81,-999,-999,1,17,33,53,70,78,82,83,82,14,43,58,72,80,82,78,79,-999,-999,32,47,70,70,86,79,-999,61,60,66,72,85,88,88,4,24,36,46,57,71,79,83,81,80,5,23,50,61,74,79,81,5,46,54,69,78,87,82,-999,10,50,53,58,77,87,94,95
0,60,10,24,35.5,49,55,60,63,64,-999,44,57,61,65,38.3,10,42,52,62,65,66,68,-999,14,23,40,51,60,63,63,62,61,60,-999,17,44,57,61,64,68,10,47,59,64,66,69,17,55,63,68,73,74,75,-999,4,26,41,53,61,65,66,1,21,42,54,64,65,67,68,-999,-999,18,43,56,70,70,70,3,25,35,54,67,70,71,1,18,44,56,62,69,69,69,1,31,47,59,67,70,70,70,70,-999,-999,13,24,41,53,65,73,75,75,74,16,45,55,64,69,71,70,85,-999,-999,41,49,70,78,84,85,-999,15,39,58,67,82,83,83,1,24,40,46,53,69,72,79,77,77,7,37,44,58,74,73,78,-999,44,50,62,64,79,77,-999,8,29,41,45,75,85,86,86
0,70,35,41,49,58,63,67,67,69,-999,43,56,62,68,39.7,35,46,53,68,68,68,69,-999,2,23,43,50,59,62,63,62,60,58,-999,12,43,55,60,64,67,12,57,62,69,70,71,35,55,64,68,74,75,76,-999,25,41,46,58,65,69,69,3,25,40,57,65,69,73,74,-999,-999,24,46,59,75,76,76,3,40,47,60,74,74,77,16,19,46,57,63,70,71,70,2,42,50,63,70,73,74,74,74,-999,-999,8,16,37,54,64,71,74,75,75,15,41,58,69,75,75,73,82,-999,-999,22,35,64,70,78,82,-999,8,28,44,57,69,77,77,1,15,23,33,54,64,72,78,78,79,-999,14,27,52,65,72,75,-999,9,26,52,62,65,62,-999,-999,17,40,48,61,71,75,79
0,80,34,38,46.5,50,57,61,61,63,-999,42,52,58,60,18.4,16,38,50,60,63,64,66,-999,1,14,35,45,54,58,57,57,56,55,-999,12,40,51,56,60,62,15,47,53,61,63,64,32,55,61,67,73,73,73,-999,9,36,47,54,59,63,63,6,24,43,56,64,64,66,66,-999,-999,18,51,55,68,69,69,11,45,50,60,68,73,70,-999,11,43,50,57,67,68,65,7,36,49,59,66,71,71,69,66,-999,-999,6,12,31,46,56,64,67,68,68,15,42,59,65,72,71,68,78,-999,7,22,49,61,69,73,78,-999,14,30,55,62,72,73,74,6,18,25,46,55,65,70,72,72,71,-999,9,26,53,66,71,74,-999,12,27,56,66,68,65,-999,-999,13,39,48,60,67,70,68
0,90,18,32,41,49,56,60,61,61,-999,48,60,61,66,16.9,14,38,50,62,62,67,67,-999,2,34,45,52,60,61,62,59,58,56,-999,19,43,53,58,61,64,45,51,56,63,64,64,37,55,60,65,69,70,70,-999,24,46,54,60,70,73,73,27,45,56,64,72,73,73,74,-999,11,29,55,60,75,75,75,38,59,63,71,76,78,78,-999,29,55,63,69,75,78,73,21,54,63,72,77,80,80,80,78,-999,-999,19,22,36,53,64,71,75,75,75,25,54,64,73,78,79,75,83,18,34.5,51,62,71,78,82,83,11,53,60,69,73,83,83,84,20,44,51,57,58,67,74,74,73,70,13,41,46,58,69,73,73,-999,50,51,66,70,73,70,-999,40,50,50,51,75,82,82,84
