offset_x,offset_y,1996-06-23 00:00:00,1996-06-28 00:00:00,1996-07-05 00:00:00,1996-07-12 00:00:00,1996-07-19 00:00:00,1996-07-26 00:00:00,1996-08-02 00:00:00,1996-08-16 00:00:00,1997-06-02 00:00:00,1997-06-08 00:00:00,1997-06-22 00:00:00,1997-07-14 00:00:00,1997-07-25 00:00:00,1997-08-10 00:00:00,1997-08-21 00:00:00,1998-06-04 00:00:00,1998-06-13 00:00:00,1998-06-25 00:00:00,1998-07-09 00:00:00,1998-07-23 00:00:00,1998-08-07 00:00:00,1998-08-14 00:00:00,1998-08-21 00:00:00,1998-08-31 00:00:00,1999-06-02 00:00:00,1999-06-09 00:00:00,1999-06-18 00:00:00,1999-06-25 00:00:00,1999-07-09 00:00:00,1999-07-16 00:00:00,1999-07-30 00:00:00,1999-08-06 00:00:00,1999-08-13 00:00:00,1999-08-20 00:00:00,1999-08-27 00:00:00,1999-09-03 00:00:00,1999-09-08 00:00:00,2000-06-04 00:00:00,2000-06-17 00:00:00,2000-07-01 00:00:00,2000-07-15 00:00:00,2000-07-28 00:00:00,2000-08-11 00:00:00,2000-08-28 00:00:00,2001-06-09 00:00:00,2001-06-25 00:00:00,2001-07-11 00:00:00,2001-07-25 00:00:00,2001-08-09 00:00:00,2001-08-22 00:00:00,2002-06-01 00:00:00,2002-06-15 00:00:00,2002-06-25 00:00:00,2002-07-08 00:00:00,2002-07-17 00:00:00,2002-07-31 00:00:00,2002-08-13 00:00:00,2002-08-21 00:00:00,2002-08-30 00:00:00,2003-06-04 00:00:00,2003-06-11 00:00:00,2003-06-18 00:00:00,2003-06-26 00:00:00,2003-07-03 00:00:00,2003-07-16 00:00:00,2003-07-30 00:00:00,2003-08-13 00:00:00,2003-08-30 00:00:00,2004-06-03 00:00:00,2004-06-11 00:00:00,2004-06-19 00:00:00,2004-06-26 00:00:00,2004-07-10 00:00:00,2004-07-24 00:00:00,2004-08-05 00:00:00,2004-08-19 00:00:00,2004-08-29 00:00:00,2005-05-20 00:00:00,2005-05-27 00:00:00,2005-06-06 00:00:00,2005-06-16 00:00:00,2005-06-25 00:00:00,2005-07-10 00:00:00,2005-08-03 00:00:00,2005-08-16 00:00:00,2005-08-28 00:00:00,2006-05-31 00:00:00,2006-06-06 00:00:00,2006-06-14 00:00:00,2006-06-26 00:00:00,2006-07-10 00:00:00,2006-07-25 00:00:00,2006-08-09 00:00:00,2006-08-22 00:00:00,2006-08-28 00:00:00,2007-05-26 00:00:00,2007-06-03 00:00:00,2007-06-12 00:00:00,2007-06-27 00:00:00,2007-07-10 00:00:00,2007-07-24 00:00:00,2007-08-08 00:00:00,2007-08-21 00:00:00,2007-09-05 00:00:00,2008-06-01 00:00:00,2008-06-12 00:00:00,2008-06-18 00:00:00,2008-06-25 00:00:00,2008-07-02 00:00:00,2008-07-10 00:00:00,2008-07-21 00:00:00,2008-07-30 00:00:00,2008-08-10 00:00:00,2008-08-21 00:00:00,2008-08-27 00:00:00,2008-09-01 00:00:00,2009-05-14 00:00:00,2009-05-17 00:00:00,2009-05-24 00:00:00,2009-06-01 00:00:00,2009-06-09 00:00:00,2009-06-19 00:00:00,2009-06-30 00:00:00,2009-07-14 00:00:00,2009-07-28 00:00:00,2009-08-09 00:00:00,2009-08-23 00:00:00,2009-09-01 00:00:00,2010-05-09 00:00:00,2010-05-14 00:00:00,2010-05-22 00:00:00,2010-05-31 00:00:00,2010-06-22 00:00:00,2010-06-30 00:00:00,2010-07-12 00:00:00,2010-07-26 00:00:00,2010-08-09 00:00:00,2010-08-23 00:00:00,2010-09-04 00:00:00,2011-05-01 00:00:00,2011-05-06 00:00:00,2011-05-10 00:00:00,2011-05-14 00:00:00,2011-05-21 00:00:00,2011-05-28 00:00:00,2011-05-31 00:00:00,2011-06-07 00:00:00,2011-06-14 00:00:00,2011-06-23 00:00:00,2011-07-05 00:00:00,2011-07-19 00:00:00,2011-08-02 00:00:00,2011-08-16 00:00:00,2011-08-30 00:00:00,2011-09-13 00:00:00,2012-06-02 00:00:00,2012-06-05 00:00:00,2012-06-13 00:00:00,2012-06-18 00:00:00,2012-06-26 00:00:00,2012-07-03 00:00:00,2012-07-10 00:00:00,2012-07-17 00:00:00,2012-07-23 00:00:00,2012-07-31 00:00:00,2012-08-07 00:00:00,2012-08-21 00:00:00,2012-09-08 00:00:00,2013-05-11 00:00:00,2013-05-15 00:00:00,2013-06-02 00:00:00,2013-06-09 00:00:00,2013-06-16 00:00:00,2013-06-22 00:00:00,2013-07-06 00:00:00,2013-07-20 00:00:00,2013-08-03 00:00:00,2013-08-17 00:00:00,2013-09-01 00:00:00,2013-09-09 00:00:00,2014-06-08 00:00:00,2014-06-16 00:00:00,2014-06-24 00:00:00,2014-06-30 00:00:00,2014-07-07 00:00:00,2014-07-21 00:00:00,2014-08-04 00:00:00,2014-08-18 00:00:00,2014-09-01 00:00:00,2015-06-15 00:00:00,2015-06-22 00:00:00,2015-06-29 00:00:00,2015-07-06 00:00:00,2015-07-13 00:00:00,2015-07-27 00:00:00,2015-08-10 00:00:00,2015-08-24 00:00:00,2015-08-31 00:00:00,2016-05-16 00:00:00,2016-05-23 00:00:00,2016-05-30 00:00:00,2016-06-06 00:00:00,2016-06-13 00:00:00,2016-06-20 00:00:00,2016-06-27 00:00:00,2016-07-04 00:00:00,2016-07-11 00:00:00,2016-07-25 00:00:00,2016-08-08 00:00:00,2016-08-22 00:00:00,2016-08-31 00:00:00
0,0,34,41,49,56,59,61,61,61,-999,-999,-999,40,49,54,55,-999,-999,1,35,43,51,56,56,60,-999,-999,-999,-999,14,24,42,44,52,53,52,51,51,-999,22,41,51,51,53,55,-999,23,44,52,54,57,-999,-999,2,33,41,52,57,58,60,-999,25,45,60,70,78,84,89,89,45,62,69,78,85,90,90,91,95,34,44,55,80,82,83,94,95,94,-999,17,51,68,82,90,96,99,99,-999,13,43,61,82,86,89,91,91,-999,48,63,71,76,84,90,95,99,99,99,99,12,20,36,46,52,58,68,85,90,93,95,95,-999,-999,-999,23,67,74,84,89,95,96,96,-999,-999,-999,-999,-999,1,12,17,27,27,43,51,56,64,66,62,-999,-999,-999,2,16,20,35,45,46,53,55,61,67,-999,8,30,44,52,63,80,87,92,95,94,94,7,37,45,53,59,74,85,88,90,21,41,55,67,75,75,89,93,92,-999,-999,10,38,50,57,67,76,75,89,95,97,101
0,10,31,37,50,55,57,61,61,61,-999,-999,10,40,49,56,56,-999,-999,2,32,39,50,55,61,64,-999,-999,-999,-999,10,24,35,44,51,53,55,56,55,-999,19,42,48,49,51,54,-999,19,43,52,53,54,-999,-999,2,23,36,47,55,58,57,22,42,48,55,62,62,67,69,68,50,64,65,65,64,66,66,68,70,22,34,42,58,58,59,69,70,68,10,35,47,57,62,67,69,70,71,23,34,45,58,63,64,65,69,68,-999,34,55,59,62,68,71,76,77,84,82,83,-999,15,26,35,42,48,59,66,72,72,74,70,-999,3,19,38,63,63,63,66,71,71,69,-999,-999,-999,-999,-999,-999,2,14,21,30,49,54,61,64,84,63,-999,-999,-999,-999,15,25,43,56,62,65,68,70,70,-999,7,27,41,53,65,73,79,83,84,84,82,9,40,45,55,61,73,83,87,87,23,40,52,68,75,84,88,90,87,-999,-999,24,36,47,61,69,75,79,89,94,97,98
0,20,27,28,40,47,50,53,55,55,-999,-999,-999,37,44,52,55,-999,-999,2,28,40,47,51,55,56,-999,-999,-999,-999,11,18,35,38,44,48,48,49,46,3,19,37,45,46,49,51,-999,18,41,51,54,57,-999,-999,4,25,40,50,55,57,59,-999,-999,-999,-999,-999,30,50,54,59,-999,-999,-999,-999,42,52,55,56,60,-999,-999,-999,-999,8,39,59,60,60,-999,-999,-999,-999,23,38,45,54,57,-999,-999,-999,37,47,56,57,60,55,-999,-999,-999,-999,-999,-999,42,57,62,61,59,60,-999,-999,-999,-999,1,34,55,59,59,67,72,73,-999,-999,-999,-999,-999,-999,29,54,61,63,62,-999,-999,-999,-999,-999,-999,10,18,25,34,50,60,60,64,83,62,-999,-999,-999,-999,-999,5,18,35,46,54,64,65,65,-999,4,31,45,54,60,80,80,83,84,83,84,4,35,45,52,59,69,77,79,80,17,38,63,68,70,77,81,82,83,-999,11,27,40,52,62,69,73,76,85,90,90,91
0,30,37,37,43,50,55,57,57,57,-999,-999,8,38,51,55,55,-999,-999,7,29,42,50,53,63,63,-999,-999,-999,-999,12,21,36,40,47,51,50,50,48,2,20,37,48,51,52,54,12,24,49,55,57,57,-999,-999,11,28,40,54,56,57,61,-999,-999,4,26,35,40,47,51,50,2,24,44,39,46,52,55,52,54,-999,-999,15,37,40,44,55,58,58,-999,-999,-999,1,41,52,61,61,63,-999,-999,-999,35,48,51,54,58,54,-999,-999,-999,26,39,50,55,57,62,61,61,62,-999,-999,2,17,26,51,52,57,60,62,62,60,-999,-999,-999,-999,16,42,49,54,56,59,55,-999,-999,-999,-999,-999,-999,2,15,25,34,48,58,63,64,85,67,-999,-999,-999,-999,-999,-999,4,25,42,52,69,67,70,-999,13,16,22,22,74,78,83,88,89,89,88,13,49,56,61,66,75,82,85,86,34,54,-999,73,-999,-999,87,87,89,-999,22,42,53,51,60,61,61,60,87,94,-999,99
0,40,30,35,41,51,52,54,54,55,-999,-999,22,42,52,56,60,-999,-999,10,35,40,57,60,64,69,-999,-999,-999,-999,18,23,40,44,49,51,50,49,49,3,15,38,46,46,48,51,13,24,44,50,55,56,-999,-999,16,34,45,53,55,56,57,-999,49,55,58,62,68,72,75,77,56,63,64,66,72,74,75,76,76,29,35,52,63,66,71,76,79,79,-999,-999,-999,-999,64,70,78,80,80,-999,-999,-999,59,65,74,75,78,78,-999,-999,43,50,59,63,70,77,81,79,78,80,-999,20,40,46,47,56,59,71,76,78,80,80,-999,-999,-999,-999,58,66,68,72,76,77,78,-999,-999,-999,-999,-999,-999,-999,15,21,36,57,67,71,75,78,76,-999,-999,-999,-999,-999,-999,-999,-999,6,22,54,60,63,-999,1,24,34,46,50,56,72,70,70,74,74,-999,26,36,49,64,61,67,69,70,7,30,53,57,61,85,-999,72,71,-999,-999,-999,16,33,43,51,56,57,71,75,76,79
0,50,35,40,48,58,58,60,62,62,-999,7,26,51,56,58,62,-999,-999,13,30,40,59,59,60,64,-999,-999,-999,-999,25,26,44,52,57,57,57,57,56,7,18,35,51,52,56,57,12,18,43,53,53,61,-999,-999,25,36,46,55,60,60,61,-999,-999,13,41,53,63,70,73,76,-999,34,48,58,70,77,77,80,80,-999,-999,18,50,59,70,80,84,83,-999,-999,-999,-999,31,66,74,77,83,-999,-999,-999,46,68,75,80,84,82,-999,-999,-999,-999,18,54,68,76,78,79,79,79,-999,-999,-999,15,30,46,65,74,80,82,86,88,-999,-999,-999,-999,22,64,71,79,85,86,85,-999,-999,-999,-999,-999,-999,-999,-999,18,38,58,69,81,89,90,82,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,31,51,66,-999,2,21,39,47,52,65,58,63,64,63,64,-999,24,41,47,49,55,62,67,67,-999,42,44,57,62,68,67,67,68,-999,-999,3,24,51,51,56,59,59,67,72,72,72
0,60,34,37,46,49,51,53,55,55,-999,7,10,40,48,55,57,-999,-999,9,30,42,57,58,59,57,-999,-999,-999,2,20,26,40,46,49,52,53,51,50,3,20,39,43,46,48,49,12,28,49,54,55,55,-999,-999,19,34,44,53,55,55,59,31,45,48,50,54,55,61,64,63,45,47,47,51,56,60,60,61,61,26,35,45,52,55,57,60,61,62,-999,-999,42,55,55,66,74,76,80,18,33,45,56,58,59,60,60,60,-999,9,37,54,58,61,67,69,70,69,68,66,-999,13,23,27,57,59,59,64,66,66,68,68,-999,-999,-999,27,60,60,63,65,71,70,71,-999,-999,-999,-999,-999,-999,-999,-999,-999,52,67,101,110,115,124,113,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,32,92,100,-999,6,30,41,45,50,51,56,60,61,60,60,-999,22,34,41,44,52,58,60,64,-999,17,32,46,51,59,59,59,62,-999,-999,-999,1,23,38,43,48,50,58,63,63,67
0,70,38,41,48,50,52,54,56,56,-999,-999,13,39,50,53,55,-999,-999,7,28,35,56,57,59,60,-999,-999,-999,-999,18,22,35,40,47,50,52,50,49,1,18,37,48,48,49,49,10,27,48,53,54,57,-999,-999,13,26,40,49,53,53,58,-999,-999,-999,-999,-999,26,53,58,60,-999,-999,-999,-999,27,54,56,60,65,-999,-999,-999,-999,13,50,65,66,66,-999,-999,-999,-999,-999,19,53,65,65,-999,-999,-999,43,56,61,65,69,67,-999,-999,-999,-999,-999,13,49,63,70,67,68,71,-999,-999,-999,-999,10,30,42,60,70,72,72,70,-999,-999,-999,-999,-999,14,45,60,67,68,69,-999,-999,-999,-999,-999,-999,12,22,37,70,73,94,100,105,107,96,-999,-999,-999,-999,-999,-999,-999,-999,-999,38,78,83,92,-999,12,31,44,52,62,62,64,68,68,68,68,-999,24,31,43,48,53,60,63,67,-999,-999,14,59,62,64,66,37,63,-999,-999,-999,-999,18,37,46,51,52,60,65,65,68
0,80,30,42,46,52,56,57,58,58,-999,-999,13,38,47,53,59,-999,-999,7,26,43,58,59,59,59,-999,-999,-999,-999,18,24,40,45,51,52,52,56,50,1,19,39,49,50,55,58,2,26,49,54,57,60,-999,-999,22,34,48,54,55,62,62,-999,-999,-999,-999,-999,10,52,59,60,-999,-999,-999,-999,38,56,59,63,64,-999,-999,-999,-999,-999,48,64,68,69,-999,-999,-999,-999,-999,-999,44,59,61,-999,-999,-999,26,51,64,67,70,70,-999,-999,-999,-999,-999,-999,-999,54,64,63,63,65,-999,-999,-999,-999,1,68,68,67,71,74,78,78,-999,-999,-999,-999,-999,-999,50,63,70,71,72,-999,-999,1,-999,-999,8,20,42,55,71,83,91,91,106,106,71,-999,-999,-999,-999,-999,-999,-999,28,72,72,80,83,95,-999,7,26,38,48,59,61,63,64,64,64,65,-999,21,32,46,52,54,63,64,67,-999,-999,-999,62,62,64,64,64,66,-999,-999,-999,-999,10,31,46,48,51,61,65,70,68
0,90,40,48,48,51,55,55,56,58,-999,-999,5,21,44,51,53,-999,-999,6,27,40,53,55,55,55,-999,-999,-999,-999,11,16,34,41,47,56,52,52,50,2,22,41,50,52,53,53,11,25,49,56,57,61,-999,-999,12,25,35,53,56,58,58,-999,-999,-999,-999,-999,-999,44,56,63,-999,-999,-999,-999,1,51,61,68,70,-999,-999,-999,-999,-999,21,67,70,74,-999,-999,-999,-999,-999,-999,3,45,48,-999,-999,-999,39,46,62,70,76,76,-999,-999,-999,-999,-999,-999,-999,-999,45,55,60,64,-999,-999,-999,-999,14,29,50,62,73,81,84,85,-999,-999,-999,-999,-999,-999,21,53,71,76,77,-999,-999,1,1,5,22,35,43,59,69,74,84,86,95,92,57,-999,-999,-999,-999,-999,25,53,73,79,80,85,90,90,-999,-999,19,38,50,62,65,65,69,69,68,68,-999,-999,-999,39,51,52,60,60,61,-999,-999,-999,-999,1,45,54,55,59,-999,-999,-999,-999,-999,17,34,35,50,61,65,67,71
