Day,Month,Year,Grid Cell Number,First Thickness Measurement (cm),Second Thickness Measurement (cm),Terrain,Observer Initials
Jour,Mois,Année,Numéro de cellule de grille,Première mesure de l’épaisseur,Deuxième mesure de l’épaisseur,Terrain,Initiales de l’observateur
8,8,2009,1,30,-99999,FG,EP
8,8,2009,2,18.5,-99999,FG,EP
8,8,2009,3,18,-99999,FG,EP
8,8,2009,4,23,-99999,FG,EP
8,8,2009,5,26,-99999,FG,EP
8,8,2009,6,20,-99999,FG,EP
8,8,2009,7,18,-99999,FG,EP
8,8,2009,8,25,-99999,CR,EP
8,8,2009,9,25.5,-99999,CR,EP
8,8,2009,10,21.5,-99999,H,EP
8,8,2009,11,18.5,-99999,FG,EP
8,8,2009,12,18,-99999,FG,EP
8,8,2009,13,25,-99999,FG,EP
8,8,2009,14,17,-99999,FG,EP
8,8,2009,15,17,-99999,FG,EP
8,8,2009,16,19,-99999,FG,EP
8,8,2009,17,25,-99999,FG,EP
8,8,2009,18,24,-99999,FG,EP
8,8,2009,19,16.5,-99999,FG,EP
8,8,2009,20,25,-99999,H,EP
8,8,2009,21,31.5,-99999,FG,EP
8,8,2009,22,28,-99999,FG,EP
8,8,2009,23,22.5,-99999,FG,EP
8,8,2009,24,17.5,-99999,FG,EP
8,8,2009,25,26,-99999,CR,EP
8,8,2009,26,19.5,-99999,FG,EP
8,8,2009,27,22.5,-99999,FG,EP
8,8,2009,28,17,-99999,FG,EP
8,8,2009,29,35,-99999,H,EP
8,8,2009,30,35,-99999,CR,EP
8,8,2009,31,18.5,-99999,FG,EP
8,8,2009,32,34.5,-99999,FG,EP
8,8,2009,33,21,-99999,FG,EP
8,8,2009,34,18,-99999,FG,EP
8,8,2009,35,23.5,-99999,FG,EP
8,8,2009,36,23,-99999,FG,EP
8,8,2009,37,19,-99999,FG,EP
8,8,2009,38,24,-99999,FG,EP
8,8,2009,39,19.5,-99999,H,EP
8,8,2009,40,19,-99999,H,EP
8,8,2009,41,19.5,-99999,FG,EP
8,8,2009,42,28.5,-99999,FG,EP
8,8,2009,43,37.5,-99999,H,EP
8,8,2009,44,21.5,-99999,FG,EP
8,8,2009,45,20,-99999,FG,EP
8,8,2009,46,26,-99999,H,EP
8,8,2009,47,18,-99999,H,EP
8,8,2009,48,20.5,-99999,H,EP
8,8,2009,49,19.5,-99999,H,EP
8,8,2009,50,31,-99999,CR,EP
8,8,2009,51,45,-99999,H,EP
8,8,2009,52,37,-99999,FG,EP
8,8,2009,53,20.5,-99999,FG,EP
8,8,2009,54,30.5,-99999,FG,EP
8,8,2009,55,19.5,-99999,FG,EP
8,8,2009,56,25.5,-99999,CR,EP
8,8,2009,57,26.5,-99999,CR,EP
8,8,2009,58,17.5,-99999,H,EP
8,8,2009,59,25,-99999,CR,EP
8,8,2009,60,19,-99999,CR,EP
8,8,2009,61,44,-99999,FG,EP
8,8,2009,62,30,-99999,FG,EP
8,8,2009,63,17.5,-99999,FG,EP
8,8,2009,64,37,-99999,FG,EP
8,8,2009,65,52.5,-99999,FG,EP
8,8,2009,66,20,-99999,FG,EP
8,8,2009,67,18,-99999,FG,EP
8,8,2009,68,24,-99999,H,EP
8,8,2009,69,21,-99999,H,EP
8,8,2009,70,28,-99999,FG,EP
8,8,2009,71,18,-99999,FG,EP
8,8,2009,72,53,-99999,FG,EP
8,8,2009,73,34,-99999,FG,EP
8,8,2009,74,34.5,-99999,FG,EP
8,8,2009,75,35,-99999,FG,EP
8,8,2009,76,23,-99999,FG,EP
8,8,2009,77,19.5,-99999,FG,EP
8,8,2009,78,19.5,-99999,FG,EP
8,8,2009,79,17.5,-99999,H,EP
8,8,2009,80,20,-99999,CR,EP
8,8,2009,81,56.5,-99999,FG,EP
8,8,2009,82,51.5,-99999,FG,EP
8,8,2009,83,39,-99999,FG,EP
8,8,2009,84,50,-99999,FG,EP
8,8,2009,85,41,-99999,FG,EP
8,8,2009,86,48,-99999,FG,EP
8,8,2009,87,24,-99999,FG,EP
8,8,2009,88,18,-99999,FG,EP
8,8,2009,89,20,-99999,FG,EP
8,8,2009,90,18,-99999,H,EP
8,8,2009,91,33,-99999,FG,EP
8,8,2009,92,34,-99999,FG,EP
8,8,2009,93,53.5,-99999,FG,EP
8,8,2009,94,49.5,-99999,FG,EP
8,8,2009,95,39,-99999,FG,EP
8,8,2009,96,40.5,-99999,FG,EP
8,8,2009,97,26.5,-99999,FG,EP
8,8,2009,98,28.5,-99999,CR,EP
8,8,2009,99,21,-99999,CR,EP
8,8,2009,100,22.5,-99999,CR,EP
4,8,2010,1,34.5,-99999,FG,"EP,  MBl"
4,8,2010,2,16.5,-99999,FG,"EP,  MBl"
4,8,2010,3,21.5,-99999,FG,"EP,  MBl"
4,8,2010,4,26,-99999,FG,"EP,  MBl"
4,8,2010,5,33,-99999,FG,"EP,  MBl"
4,8,2010,6,21,-99999,FG,"EP,  MBl"
4,8,2010,7,20,-99999,FG,"EP,  MBl"
4,8,2010,8,24.5,-99999,FG,"EP,  MBl"
4,8,2010,9,27,-99999,FG,"EP,  MBl"
4,8,2010,10,24,-99999,FG,"EP,  MBl"
4,8,2010,11,44,-99999,FG,"EP,  MBl"
4,8,2010,12,15,-99999,FG,"EP,  MBl"
4,8,2010,13,18,-99999,FG,"EP,  MBl"
4,8,2010,14,17,-99999,FG,"EP,  MBl"
4,8,2010,15,22,-99999,FG,"EP,  MBl"
4,8,2010,16,21.5,-99999,FG,"EP,  MBl"
4,8,2010,17,27,-99999,FG,"EP,  MBl"
4,8,2010,18,27,-99999,FG,"EP,  MBl"
4,8,2010,19,19.5,-99999,FG,"EP,  MBl"
4,8,2010,20,24.5,-99999,FG,"EP,  MBl"
4,8,2010,21,37.5,-99999,FG,"EP,  MBl"
4,8,2010,22,31.5,-99999,FG,"EP,  MBl"
4,8,2010,23,25,-99999,FG,"EP,  MBl"
4,8,2010,24,21,-99999,FG,"EP,  MBl"
4,8,2010,25,30,-99999,FG,"EP,  MBl"
4,8,2010,26,21,-99999,FG,"EP,  MBl"
4,8,2010,27,22.5,-99999,FG,"EP,  MBl"
4,8,2010,28,19,-99999,FG,"EP,  MBl"
4,8,2010,29,42,-99999,FG,"EP,  MBl"
4,8,2010,30,34,-99999,FG,"EP,  MBl"
4,8,2010,31,45,-99999,FG,"EP,  MBl"
4,8,2010,32,22,-99999,FG,"EP,  MBl"
4,8,2010,33,24.5,-99999,FG,"EP,  MBl"
4,8,2010,34,21,-99999,FG,"EP,  MBl"
4,8,2010,35,28,-99999,FG,"EP,  MBl"
4,8,2010,36,25,-99999,FG,"EP,  MBl"
4,8,2010,37,20,-99999,FG,"EP,  MBl"
4,8,2010,38,26,-99999,FG,"EP,  MBl"
4,8,2010,39,22.5,-99999,FG,"EP,  MBl"
4,8,2010,40,23,-99999,FG,"EP,  MBl"
4,8,2010,41,26.5,-99999,FG,"EP,  MBl"
4,8,2010,42,48.5,-99999,FG,"EP,  MBl"
4,8,2010,43,37,-99999,FG,"EP,  MBl"
4,8,2010,44,21,-99999,FG,"EP,  MBl"
4,8,2010,45,23,-99999,FG,"EP,  MBl"
4,8,2010,46,24,-99999,FG,"EP,  MBl"
4,8,2010,47,20,-99999,FG,"EP,  MBl"
4,8,2010,48,24,-99999,FG,"EP,  MBl"
4,8,2010,49,21,-99999,FG,"EP,  MBl"
4,8,2010,50,39.5,-99999,FG,"EP,  MBl"
4,8,2010,51,47,-99999,FG,"EP,  MBl"
4,8,2010,52,34,-99999,FG,"EP,  MBl"
4,8,2010,53,17,-99999,FG,"EP,  MBl"
4,8,2010,54,33.5,-99999,FG,"EP,  MBl"
4,8,2010,55,22,-99999,FG,"EP,  MBl"
4,8,2010,56,28.5,-99999,FG,"EP,  MBl"
4,8,2010,57,29,-99999,FG,"EP,  MBl"
4,8,2010,58,20,-99999,FG,"EP,  MBl"
4,8,2010,59,26,-99999,FG,"EP,  MBl"
4,8,2010,60,25.5,-99999,FG,"EP,  MBl"
4,8,2010,61,39,-99999,FG,"EP,  MBl"
4,8,2010,62,49.5,-99999,FG,"EP,  MBl"
4,8,2010,63,21,-99999,FG,"EP,  MBl"
4,8,2010,64,33.5,-99999,FG,"EP,  MBl"
4,8,2010,65,53,-99999,FG,"EP,  MBl"
4,8,2010,66,22,-99999,FG,"EP,  MBl"
4,8,2010,67,20,-99999,FG,"EP,  MBl"
4,8,2010,68,26,-99999,FG,"EP,  MBl"
4,8,2010,69,22,-99999,FG,"EP,  MBl"
4,8,2010,70,22,-99999,FG,"EP,  MBl"
4,8,2010,71,49,-99999,FG,"EP,  MBl"
4,8,2010,72,47,-99999,FG,"EP,  MBl"
4,8,2010,73,42,-99999,FG,"EP,  MBl"
4,8,2010,74,34,-99999,FG,"EP,  MBl"
4,8,2010,75,26,-99999,FG,"EP,  MBl"
4,8,2010,76,24.5,-99999,FG,"EP,  MBl"
