Date/Time,Year,Month,Day,Data Quality,Max Temp (°C),Max Temp Flag,Min Temp (°C),Min Temp Flag,Mean Temp (°C),Mean Temp Flag,Heat Deg Days (°C),Heat Deg Days Flag,Cool Deg Days (°C),Cool Deg Days Flag,Total Rain (mm),Total Rain Flag,Total Snow (cm),Total Snow Flag,Total Precip (mm),Total Precip Flag,Snow on Grnd (cm),Snow on Grnd Flag,Dir of Max Gust (10s deg),Dir of Max Gust Flag,Spd of Max Gust (km/h),
1/1/2009,2009,1,1,,-8.7,,-18.8,,-13.8,,31.8,,0,,,M,,M,,M,,,30,,39,
1/2/2009,2009,1,2,,-10.5,,-22.7,,-16.6,,34.6,,0,,,M,,M,,M,,,26,,117,
1/3/2009,2009,1,3,,-15.8,,-23.5,,-19.7,,37.7,,0,,,M,,M,,M,,,27,,72,
1/4/2009,2009,1,4,,-16.7,,-21.8,,-19.3,,37.3,,0,,,M,,M,,M,,,11,,37,
1/5/2009,2009,1,5,,-14.4,,-21,,-17.7,,35.7,,0,,,M,,M,,M,,,36,,54,
1/6/2009,2009,1,6,,-16.8,,-19.9,,-18.4,,36.4,,0,,,M,,M,,M,,,4,,57,
1/7/2009,2009,1,7,,-18.5,,-22.9,,-20.7,,38.7,,0,,,M,,M,,M,,,3,,43,
1/8/2009,2009,1,8,,-22.2,,-24.1,,-23.2,,41.2,,0,,,M,,M,,M,,,3,,67,
1/9/2009,2009,1,9,,-20.8,,-22.6,,-21.7,,39.7,,0,,,M,,M,,M,,,2,,46,
1/10/2009,2009,1,10,,-20.7,,-25.6,,-23.2,,41.2,,0,,,M,,M,,M,,,,,<31,
1/11/2009,2009,1,11,,-25.5,,-27.2,,-26.4,,44.4,,0,,,M,,M,,M,,,,,<31,
1/12/2009,2009,1,12,,-25.7,,-27.5,,-26.6,,44.6,,0,,,M,,M,,M,,,2,,57,
1/13/2009,2009,1,13,,-27.2,,-29,,-28.1,,46.1,,0,,,M,,M,,M,,,34,,44,
1/14/2009,2009,1,14,,-24.1,,-27.7,,-25.9,,43.9,,0,,,M,,M,,M,,,1,,59,
1/15/2009,2009,1,15,,-26.5,,-30.4,,-28.5,,46.5,,0,,,M,,M,,M,,,33,,43,
1/16/2009,2009,1,16,,-23.4,,-29.4,,-26.4,,44.4,,0,,,M,,M,,M,,,26,,80,
1/17/2009,2009,1,17,,-25.7,,-28.5,,-27.1,,45.1,,0,,,M,,M,,M,,,27,,87,
1/18/2009,2009,1,18,,-20.7,,-28.9,,-24.8,,42.8,,0,,,M,,M,,M,,,29,,52,
1/19/2009,2009,1,19,,-19.9,,-23.3,,-21.6,,39.6,,0,,,M,,M,,M,,,26,,43,
1/20/2009,2009,1,20,,-19.5,,-25,,-22.3,,40.3,,0,,,M,,M,,M,,,,,<31,
1/21/2009,2009,1,21,,-23.2,,-25.6,,-24.4,,42.4,,0,,,M,,M,,M,,,36,,70,
1/22/2009,2009,1,22,,-22.8,,-24.1,,-23.5,,41.5,,0,,,M,,M,,M,,,2,,61,
1/23/2009,2009,1,23,,-18,,-22.9,,-20.5,,38.5,,0,,,M,,M,,M,,,4,,65,
1/24/2009,2009,1,24,,-18.1,,-22.7,,-20.4,,38.4,,0,,,M,,M,,M,,,2,,59,Spd of Max Gust Flag
1/25/2009,2009,1,25,,-21.8,,-24.8,,-23.3,,41.3,,0,,,M,,M,,M,,,36,,56,
1/26/2009,2009,1,26,,-19.6,,-25.9,,-22.8,,40.8,,0,,,M,,M,,M,,,2,,69,
1/27/2009,2009,1,27,,-19.9,,-24.9,,-22.4,,40.4,,0,,,M,,M,,M,,,,,<31,
1/28/2009,2009,1,28,,-20.2,,-25.8,,-23,,41,,0,,,M,,M,,M,,,2,,54,
1/29/2009,2009,1,29,,-21.8,,-24.9,,-23.4,,41.4,,0,,,M,,M,,M,,,4,,70,
1/30/2009,2009,1,30,,-22.1,,-25.3,,-23.7,,41.7,,0,,,M,,M,,M,,,36,,48,
1/31/2009,2009,1,31,,-21,,-24.3,,-22.7,,40.7,,0,,,M,,M,,M,,,,,<31,
2/1/2009,2009,2,1,,-21.5,,-25.4,,-23.5,,41.5,,0,,,M,,M,,M,,,8,,33,
2/2/2009,2009,2,2,,-17.6,,-21.5,,-19.6,,37.6,,0,,,M,,M,,M,,,10,,33,
2/3/2009,2009,2,3,,-17.9,,-24.8,,-21.4,,39.4,,0,,,M,,M,,M,,,4,,57,
2/4/2009,2009,2,4,,-22.9,,-24.2,,-23.6,,41.6,,0,,,M,,M,,M,,,3,,61,
2/5/2009,2009,2,5,,-18,,-25.1,,-21.6,,39.6,,0,,,M,,M,,M,,,3,,63,
2/6/2009,2009,2,6,,-18,,-23,,-20.5,,38.5,,0,,,M,,M,,M,,,2,,44,
2/7/2009,2009,2,7,,-19.5,,-22.9,,-21.2,,39.2,,0,,,M,,M,,M,,,3,,61,
2/8/2009,2009,2,8,,-20.1,,-22.9,,-21.5,,39.5,,0,,,M,,M,,M,,,2,,74,
2/9/2009,2009,2,9,,-17.8,,-21.6,,-19.7,,37.7,,0,,,M,,M,,M,,,29,,33,
2/10/2009,2009,2,10,,-16.8,,-18.8,,-17.8,,35.8,,0,,,M,,M,,M,,,2,,48,
2/11/2009,2009,2,11,,-17.3,,-20.7,,-19,,37,,0,,,M,,M,,M,,,3,,65,
2/12/2009,2009,2,12,,-17.7,,-23.6,,-20.7,,38.7,,0,,,M,,M,,M,,,4,,65,
2/13/2009,2009,2,13,,-20.9,,-23.4,,-22.2,,40.2,,0,,,M,,M,,M,,,3,,82,
2/14/2009,2009,2,14,,-20.7,,-25.4,,-23.1,,41.1,,0,,,M,,M,,M,,,3,,89,
