"Station Name","EUREKA A"
"Province","NUNAVUT"
"Latitude","79.99"
"Longitude","-85.81"
"Elevation","82.90"
"Climate Identifier","2401203"
"WMO Identifier","71917"
"TC Identifier","WEU"

"Legend"
"A","Accumulated"
"C","Precipitation occurred, amount uncertain"
"E","Estimated"
"F","Accumulated and estimated"
"L","Precipitation may or may not have occurred"
"M","Missing"
"N","Temperature missing but known to be > 0"
"S","More than one occurrence"
"T","Trace"
"Y","Temperature missing but known to be < 0"
"[empty]","No data available"
"^","The value displayed is based on incomplete data"
"†","Data that is not subject to review by the National Climate Archives"

"Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"2016-01-01","2016","01","01","","","","","","","","","","","","","","","","","","","","","","",""
"2016-01-02","2016","01","02","","","","","","","","","","","","","","","","","","","","","","",""
"2016-01-03","2016","01","03","","","","","","","","","","","","","","","","","","","","","","",""
"2016-01-04","2016","01","04","","","","","","","","","","","","","","","","","","","","","","",""
"2016-01-05","2016","01","05","","","","","","","","","","","","","","","","","","","","","","",""
"2016-01-06","2016","01","06","","","","","","","","","","","","","","","","","","","","","","",""
"2016-01-07","2016","01","07","","","","","","","","","","","","","","","","","","","","","","",""
"2016-01-08","2016","01","08","","","","","","","","","","","","","","","","","","","","","","",""
"2016-01-09","2016","01","09","","","","","","","","","","","","","","","","","","","","","","",""
"2016-01-10","2016","01","10","","","","","","","","","","","","","","","","","","","","","","",""
"2016-01-11","2016","01","11","","","","","","","","","","","","","","","","","","","","","","",""
"2016-01-12","2016","01","12","","","","","","","","","","","","","","","","","","","","","","",""
"2016-01-13","2016","01","13","","","","","","","","","","","","","","","","","","","","","","",""
"2016-01-14","2016","01","14","","","","","","","","","","","","","","","","","","","","","","",""
"2016-01-15","2016","01","15","","","","","","","","","","","","","","","","","","","","","","",""
"2016-01-16","2016","01","16","","","","","","","","","","","","","","","","","","","","","","",""
"2016-01-17","2016","01","17","","","","","","","","","","","","","","","","","","","","","","",""
"2016-01-18","2016","01","18","","","","","","","","","","","","","","","","","","","","","","",""
"2016-01-19","2016","01","19","","","","","","","","","","","","","","","","","","","","","","",""
"2016-01-20","2016","01","20","","","","","","","","","","","","","","","","","","","","","","",""
