"Station Name","EUREKA A"
"Province","NUNAVUT"
"Latitude","79.98"
"Longitude","-85.93"
"Elevation","10.40"
"Climate Identifier","2401200"
"WMO Identifier","71917"
"TC Identifier","WEU"

"Legend"
"B","More than one occurrence and estimated"
"E","Estimated"
"M","Missing"
"S","More than one occurrence"
"T","Trace"
"[empty]","No data available"
"^","The value displayed is based on incomplete data"

"Date/Time","Year","Month","Mean Max Temp (°C)","Mean Max Temp Flag","Mean Min Temp (°C)","Mean Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Extr Max Temp (°C)","Extr Max Temp Flag","Extr Min Temp (°C)","Extr Min Temp Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow Grnd Last Day (cm)","Snow Grnd Last Day Flag","Dir of Max Gust (10's deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"1947-01","1947","01","","M","","M","","M","","M","","M","","M","","M","","M","","",,"",,""
"1947-02","1947","02","","M","","M","","M","","M","","M","","M","","M","","M","","",,"",,""
"1947-03","1947","03","","M","","M","","M","","M","","M","","M","","M","","M","","",,"",,""
"1947-04","1947","04","","M","","M","","M","","M","","M","","M","","M","","M","","",,"",,""
"1947-05","1947","05","-7.2","","-14.0","","-10.6","","2.8","","-27.8","","","M","","M","","M","","",,"",,""
"1947-06","1947","06","6.6","","0.9","","3.8","","11.1","","-3.9","","","M","","M","","M","","",,"",,""
"1947-07","1947","07","8.6","","2.6","","5.6","","13.9","","0.6","","","M","","M","","M","","",,"",,""
"1947-08","1947","08","","M","","M","","M","","M","","M","","M","","M","","M","","",,"",,""
"1947-09","1947","09","-5.3","","-9.2","","-7.3","","2.2","S","-24.4","","0.0","","11.9","","11.9","","","",,"",,""
"1947-10","1947","10","-15.1","","-22.2","","-18.7","","0.6","","-31.1","","0.0","","3.3","","3.3","","","",,"",,""
"1947-11","1947","11","-24.9","","-32.4","","-28.7","","-1.7","","-42.2","S","0.0","","2.0","","2.0","","","",,"",,""
"1947-12","1947","12","-36.2","","-41.4","","-38.8","","-23.3","","-46.7","S","","M","","M","","M","","",,"",,""
"1948-01","1948","01","-34.2","","-41.9","","-38.1","","-20.0","","-47.2","","0.0","","3.8","","3.8","","0","",,"",,""
"1948-02","1948","02","-39.2","","-46.0","","-42.6","","-24.4","","-51.1","S","0.0","","0.0","T","0.0","T","10","",,"",,""
"1948-03","1948","03","-32.4","","-41.7","","-37.1","","-20.6","","-52.8","","0.0","","3.8","","3.8","","0","",,"",,""
"1948-04","1948","04","-24.1","","-33.4","","-28.8","","-5.0","","-43.3","","0.0","","0.0","T","0.0","T","0","",,"",,""
"1948-05","1948","05","-5.6","","-11.4","","-8.5","","2.8","","-22.8","S","0.0","","10.2","","10.2","","0","",,"",,""
"1948-06","1948","06","5.4","","0.8","","3.1","","11.1","S","-2.2","","0.3","","0.3","","0.5","","0","",,"",,""
"1948-07","1948","07","9.3","","3.1","","6.2","","18.9","","1.1","S","1.0","","0.0","T","1.0","","0","",,"",,""
"1948-08","1948","08","4.8","","1.3","","3.1","","11.7","","-1.7","S","6.6","","0.0","T","6.6","","0","",,"",,""
"1948-09","1948","09","-1.8","","-7.9","","-4.9","","3.3","","-20.6","","0.0","","4.3","","4.3","","3","",,"",,""
"1948-10","1948","10","-16.9","","-24.1","","-20.5","","-6.7","","-33.9","","0.0","","4.1","","4.1","","0","",,"",,""
"1948-11","1948","11","-26.6","","-32.4","","-29.5","","-7.8","S","-43.9","","0.0","","0.0","T","0.0","T","0","",,"",,""
"1948-12","1948","12","-39.3","","-44.2","","-41.8","","-25.0","","-49.4","S","0.0","","0.0","T","0.0","T","0","",,"",,""
"1949-01","1949","01","-36.4","","-43.1","","-39.8","","-22.8","","-48.3","S","0.0","","1.8","","1.8","","","M",,"",,""
"1949-02","1949","02","-34.4","","-41.5","","-38.0","","-15.6","","-47.8","","0.0","","2.8","","2.8","","","M",,"",,""
"1949-03","1949","03","-28.8","","-37.5","","-33.2","","-13.3","","-45.6","S","0.0","","3.3","","3.3","","","M",,"",,""
"1949-04","1949","04","-24.2","","-33.7","","-29.0","","-14.4","","-41.1","S","0.0","","0.3","","0.3","","","M",,"",,""
"1949-05","1949","05","-7.3","","-15.6","","-11.5","","5.6","S","-26.1","","0.0","","0.3","","0.3","","","M",,"",,""
"1949-06","1949","06","6.3","","1.1","","3.7","","12.8","","-1.1","S","0.0","T","0.0","T","0.0","T","","M",,"",,""
"1949-07","1949","07","8.9","","2.8","","5.9","","15.0","","1.1","S","12.7","","0.0","","12.7","","","M",,"",,""
"1949-08","1949","08","6.1","","1.1","","3.6","","11.7","","-8.3","","5.1","","3.3","","8.4","","","M",,"",,""
"1949-09","1949","09","-4.3","","-9.3","","-6.8","","3.3","","-20.6","","0.0","T","9.9","","9.9","","0","",,"",,""
"1949-10","1949","10","-18.1","","-25.8","","-22.0","","-7.8","S","-34.4","","0.0","","1.3","","1.3","","","M",,"",,""
"1949-11","1949","11","-28.0","","-33.8","","-30.9","","-20.6","","-43.3","","0.0","","5.3","","5.3","","","M",,"",,""
"1949-12","1949","12","-34.7","","-40.6","","-37.7","","-22.2","","-46.7","","0.0","","1.8","","1.8","","","M",,"",,""
"1950-01","1950","01","-36.1","E","-44.3","","-40.2","E","-25.6","","-49.4","","0.0","","2.0","","2.0","","13","",,"",,""
"1950-02","1950","02","-34.3","","-42.0","","-38.2","","-21.7","","-50.6","S","0.0","","1.8","","1.8","","15","",,"",,""
"1950-03","1950","03","-29.6","","-38.3","","-34.0","","-13.3","S","-48.3","","0.0","","0.3","","0.3","","15","",,"",,""
"1950-04","1950","04","-25.7","","-34.9","","-30.3","","-15.6","","-43.3","","0.0","","0.3","","0.3","","15","",,"",,""
"1950-05","1950","05","-7.4","","-14.8","","-11.1","","1.7","","-28.3","","0.0","","0.0","T","0.0","T","15","",,"",,""
"1950-06","1950","06","4.9","","-0.5","","2.2","","11.1","","-5.6","S","0.0","T","0.0","T","0.0","T","0","",,"",,""
"1950-07","1950","07","9.6","","2.6","","6.1","","19.4","","0.6","S","8.9","","0.0","","8.9","","0","",,"",,""
"1950-08","1950","08","6.3","","0.7","","3.5","","10.0","","-2.2","S","2.0","","0.0","","2.0","","","M",,"",,""
"1950-09","1950","09","-6.8","","-12.3","","-9.6","","4.4","","-22.8","","0.0","","18.8","","18.8","","","M",,"",,""
"1950-10","1950","10","-21.1","","-27.8","","-24.5","","-10.6","","-36.1","S","0.0","","2.5","","2.5","","","M",,"",,""
"1950-11","1950","11","-24.8","","-32.9","","-28.9","","-10.0","","-40.0","S","0.0","","6.4","","6.4","","","M",,"",,""
"1950-12","1950","12","-29.6","","-36.1","","-32.9","","-17.8","","-43.3","S","0.0","","4.8","","4.8","","","M",,"",,""
"1951-01","1951","01","-35.6","","-42.4","","-39.0","","-23.3","S","-50.0","S","0.0","","2.0","","2.0","","0","",,"",,""
"1951-02","1951","02","-36.5","","-44.1","","-40.3","","-27.2","","-49.4","S","0.0","","0.8","","0.8","","18","",,"",,""
"1951-03","1951","03","-31.7","","-39.7","","-35.7","","-16.7","","-46.1","","0.0","","0.3","","0.3","","18","",,"",,""
