Day,Month,Year,Grid Cell Number,First Thickness Measurement (cm),Second Thickness Measurement (cm),Observer(s) Initials
Jour,Mois,Année,Numéro de cellule de grille,Première mesure de l’épaisseur (cm),Deuxième mesure de l’épaisseur (cm),Initiales de l’observateur
16,8,1999,1,70,63.5,MY
16,8,1999,2,53.2,65.5,MY
16,8,1999,3,61,59,MY
16,8,1999,4,58.6,66,MY
16,8,1999,5,60.5,61.9,MY
16,8,1999,6,63.6,64.9,MY
16,8,1999,7,64,58.5,MY
16,8,1999,8,54.5,58.5,MY
16,8,1999,9,67,67.2,MY
16,8,1999,10,45.5,60,MY
16,8,1999,11,63.5,65.2,MY
16,8,1999,12,64.4,59,MY
16,8,1999,13,54.2,56,MY
16,8,1999,14,51.6,59.8,MY
16,8,1999,15,49.9,50.4,MY
16,8,1999,16,55.3,57.6,MY
16,8,1999,17,62,55,MY
16,8,1999,18,64.2,57.6,MY
16,8,1999,19,60.4,58.2,MY
16,8,1999,20,66.3,62,MY
16,8,1999,21,63.5,65.2,MY
16,8,1999,22,62,61.8,MY
16,8,1999,23,64.5,56.9,MY
16,8,1999,24,49.5,49.2,MY
16,8,1999,25,60.5,50.5,MY
16,8,1999,26,55.5,59.6,MY
16,8,1999,27,58,58.9,MY
16,8,1999,28,54.3,65.1,MY
16,8,1999,29,62,58.5,MY
16,8,1999,30,62.4,66.6,MY
16,8,1999,31,65.5,62.2,MY
16,8,1999,32,64.5,65,MY
16,8,1999,33,57,58.5,MY
16,8,1999,34,63.5,62.9,MY
16,8,1999,35,57,60.5,MY
16,8,1999,36,45.5,45.5,MY
16,8,1999,37,60.8,58,MY
16,8,1999,38,62.5,65.5,MY
16,8,1999,39,44.2,46.5,MY
16,8,1999,40,65.1,64,MY
16,8,1999,41,58.8,61.5,MY
16,8,1999,42,64.3,63.1,MY
16,8,1999,43,52,52.6,MY
16,8,1999,44,53,53.1,MY
16,8,1999,45,50.5,46,MY
16,8,1999,46,59.1,60.1,MY
16,8,1999,47,66,64.5,MY
16,8,1999,48,42.5,38.9,MY
16,8,1999,49,61.9,59,MY
16,8,1999,50,57.5,55.2,MY
16,8,1999,51,57.6,58.2,MY
16,8,1999,52,53.2,54.6,MY
16,8,1999,53,48.6,54.2,MY
16,8,1999,54,55.5,58.7,MY
16,8,1999,55,54,60.2,MY
16,8,1999,56,57.9,57,MY
16,8,1999,57,49.8,55.4,MY
16,8,1999,58,62.5,63.1,MY
16,8,1999,59,60.4,62.7,MY
16,8,1999,60,46,48.2,MY
16,8,1999,61,56,51.6,MY
16,8,1999,62,58.1,59.7,MY
16,8,1999,63,60.5,57.2,MY
16,8,1999,64,57.7,63.4,MY
16,8,1999,65,60.5,63.2,MY
16,8,1999,66,64,65.5,MY
16,8,1999,67,64.5,64.2,MY
16,8,1999,68,57.5,64.4,MY
16,8,1999,69,59.5,57,MY
16,8,1999,70,32.5,47.2,MY
16,8,1999,71,54.2,54.8,MY
16,8,1999,72,53.9,54.7,MY
16,8,1999,73,64.9,63.6,MY
16,8,1999,74,52,51.9,MY
16,8,1999,75,51.6,55.2,MY
